Lineage name	England	Scotland	Northern Ireland	Wales	Date range	Global lineage	Total
UK1932	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Jul-13	B.1.1	8 taxa
UK2065	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, May-14	B.1.1	8 taxa
UK2082	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-14, Aug-11	B.1.1	8 taxa
UK1609	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Jun-14	B.1.1	8 taxa
UK1090	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	May-04, Aug-17	B.1	8 taxa
UK520	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-08	B.2.1	8 taxa
UK1191	7 (87.5%)	0 (0%)	1 (12.5%)	0 (0%)	Mar-29, Aug-14	B.1.1	8 taxa
UK1120	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-13, Aug-10	B.1.1	8 taxa
UK1515	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Jun-15	B.1.1	8 taxa
UK1366	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Jun-11	B.1.1	8 taxa
UK1967	7 (87.5%)	0 (0%)	0 (0%)	1 (12.5%)	Mar-30, Apr-21	B.1.1	8 taxa
UK2034	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Apr-08, Jun-28	B.1.1	8 taxa
UK1006	5 (62.5%)	2 (25.0%)	1 (12.5%)	0 (0%)	Mar-06, Apr-12	B.1	8 taxa
UK799	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-07	B.1	8 taxa
UK941	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Apr-22	B.1.1	8 taxa
UK161	6 (75.0%)	0 (0%)	0 (0%)	2 (25.0%)	Mar-18, Apr-04	B.2, B.2.4	8 taxa
UK1262	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-02, Jun-16	B.1.1	8 taxa
UK1833	6 (75.0%)	0 (0%)	0 (0%)	2 (25.0%)	Mar-17, Jul-14	B.1.1	8 taxa
UK1210	4 (50.0%)	0 (0%)	4 (50.0%)	0 (0%)	Jul-14, Jul-29	B.1.1, B.1.1.1	8 taxa
UK856	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-21, Apr-20	B.1.5	8 taxa
UK743	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-24, Jun-14	B.1.102, B.1.5	8 taxa
UK311	7 (87.5%)	1 (12.5%)	0 (0%)	0 (0%)	Mar-25, Apr-18	B.2	8 taxa
UK739	8 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-01, Mar-08	B.4	8 taxa
UK1064	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-19	B.1	7 taxa
UK783	6 (85.71%)	0 (0%)	0 (0%)	1 (14.29%)	Mar-12, Apr-20	B.1	7 taxa
UK1224	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-12, Jul-27	B.1.1.1	7 taxa
UK158	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-11, Apr-02	B.2.4	7 taxa
UK635	6 (85.71%)	0 (0%)	0 (0%)	1 (14.29%)	Mar-17, Apr-15	B.2	7 taxa
UK2098	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-28, Jun-24	B.1.1	7 taxa
UK993	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-27, Apr-14	B.1.1	7 taxa
UK98	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Jun-04	B.6	7 taxa
UK901	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-14, Apr-23	B.1.1	7 taxa
UK787	6 (85.71%)	1 (14.29%)	0 (0%)	0 (0%)	Mar-12, May-18	B.1.1, B.1.1.33	7 taxa
UK2004	6 (85.71%)	0 (0%)	0 (0%)	1 (14.29%)	Mar-26, Jun-14	B.1.1	7 taxa
UK1005	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, Apr-19	B.1.1	7 taxa
UK139	0 (0%)	0 (0%)	0 (0%)	7 (100.0%)	Mar-14, Mar-26	B.2.1	7 taxa
UK184	1 (14.29%)	0 (0%)	0 (0%)	6 (85.71%)	Mar-15, Apr-01	B.2.1	7 taxa
UK697	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-08, Jul-02	B.1	7 taxa
UK164	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-16	B.2.1	7 taxa
UK1995	4 (57.14%)	0 (0%)	0 (0%)	3 (42.86%)	Mar-26, Jun-23	B.1.1	7 taxa
UK1275	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Apr-10	B.1.1	7 taxa
UK418	4 (57.14%)	0 (0%)	1 (14.29%)	2 (28.57%)	Mar-29, Aug-04	B.1	7 taxa
UK930	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-04, Mar-30	B.1.1	7 taxa
UK1289	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-30, May-11	B.1.1	7 taxa
UK401	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-02, Jul-10	B.6, B, B.2.1	7 taxa
UK728	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-19, Apr-01	B.2.1	7 taxa
UK197	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-10, Apr-06	B.2.1	7 taxa
UK1325	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-31, May-17	B.1.1	7 taxa
UK270	6 (85.71%)	1 (14.29%)	0 (0%)	0 (0%)	Mar-04, Apr-03	B	7 taxa
UK2049	6 (85.71%)	0 (0%)	1 (14.29%)	0 (0%)	Mar-28, Apr-25	B.1.1	7 taxa
UK1898	6 (85.71%)	0 (0%)	0 (0%)	1 (14.29%)	Mar-18, Apr-11	B.1.1	7 taxa
UK306	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-30, Apr-20	B.1	7 taxa
UK1583	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Aug-09, Aug-18	B.1.1	7 taxa
UK171	3 (42.86%)	4 (57.14%)	0 (0%)	0 (0%)	Mar-31, Apr-21	B.1	7 taxa
UK247	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-17, Apr-23	B.1	7 taxa
UK628	0 (0%)	7 (100.0%)	0 (0%)	0 (0%)	Mar-31, Apr-24	B.1	7 taxa
UK689	7 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-15, Aug-21	B.1.1	7 taxa
UK118	2 (33.33%)	4 (66.67%)	0 (0%)	0 (0%)	Mar-20, May-15	B	6 taxa
UK1961	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-08, Jun-11	B.1.1	6 taxa
UK1452	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Aug-05, Aug-25	B.1.1	6 taxa
UK217	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-06, Mar-31	B.2	6 taxa
UK943	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-29, Jun-24	B.1.1	6 taxa
UK456	3 (50.0%)	1 (16.67%)	0 (0%)	2 (33.33%)	Mar-25, Apr-22	B.1	6 taxa
UK705	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Mar-26	B.1	6 taxa
UK1160	4 (66.67%)	0 (0%)	1 (16.67%)	1 (16.67%)	Mar-29, May-13	B.1.1	6 taxa
UK1791	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-11	B.1.1	6 taxa
UK733	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Aug-10, Aug-30	B.1.113	6 taxa
UK654	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Feb-27, Mar-08	B.2	6 taxa
UK1616	1 (16.67%)	0 (0%)	5 (83.33%)	0 (0%)	Mar-29, Apr-01	B.1.1	6 taxa
UK1083	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-22, Aug-12	B.1.1	6 taxa
UK1975	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Aug-17	B.1.1	6 taxa
UK498	0 (0%)	5 (83.33%)	0 (0%)	1 (16.67%)	Apr-23, Aug-31	B.1, B.1.113	6 taxa
UK621	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-02	A.1	6 taxa
UK526	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, May-18	B.1	6 taxa
UK947	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-16, Jul-18	B.1.1	6 taxa
UK650	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-24, Aug-29	B.1.1	6 taxa
UK1208	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jul-04, Aug-21	B.1.1.1	6 taxa
UK615	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-03, Mar-12	B.1.1	6 taxa
UK1356	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-11, May-06	B.1	6 taxa
UK105	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Apr-21	B.3	6 taxa
UK797	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-08	B.1.11	6 taxa
UK1144	2 (33.33%)	0 (0%)	0 (0%)	4 (66.67%)	Mar-25, Apr-09	B.1.1	6 taxa
UK1082	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-02, Jun-10	B.1	6 taxa
UK2089	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Mar-20, Aug-20	B.1.1	6 taxa
UK2078	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Apr-05, May-05	B.1.1, B.1	6 taxa
UK1416	5 (83.33%)	0 (0%)	1 (16.67%)	0 (0%)	Apr-07, May-11	B.1.1	6 taxa
UK931	2 (33.33%)	4 (66.67%)	0 (0%)	0 (0%)	Apr-12, Aug-31	B.1, B.1.5	6 taxa
UK1700	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-01, Apr-14	B.1	6 taxa
UK1640	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, Apr-21	B.1.1	6 taxa
UK1035	3 (50.0%)	3 (50.0%)	0 (0%)	0 (0%)	Apr-29, Aug-07	B.1.1, B.1.1.28	6 taxa
UK364	1 (16.67%)	0 (0%)	1 (16.67%)	4 (66.67%)	Mar-19, May-14	B.1	6 taxa
UK1174	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-16, Apr-11	B.1	6 taxa
UK643	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-24, Apr-22	B.2.1	6 taxa
UK1822	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-27, Jul-04	B.1.1	6 taxa
UK564	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Jun-07, Jun-25	B.1	6 taxa
UK1976	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-27, Apr-08	B.1.1	6 taxa
UK1971	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-23, Jul-01	B.1.1	6 taxa
UK887	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-21, Jul-04	B.1.1	6 taxa
UK1320	2 (33.33%)	0 (0%)	0 (0%)	4 (66.67%)	Mar-16, Apr-22	B	6 taxa
UK1923	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-04, Jul-01	B.1.1	6 taxa
UK67	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-03, Jul-19	B.4	6 taxa
UK1581	2 (33.33%)	0 (0%)	0 (0%)	4 (66.67%)	Mar-27, Apr-08	B.1.1	6 taxa
UK679	1 (16.67%)	5 (83.33%)	0 (0%)	0 (0%)	Mar-17, Apr-17	B.1	6 taxa
UK379	4 (66.67%)	1 (16.67%)	0 (0%)	1 (16.67%)	Mar-12, Mar-31	B.1	6 taxa
UK1139	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-26, Apr-27	B.1.1	6 taxa
UK157	4 (66.67%)	1 (16.67%)	1 (16.67%)	0 (0%)	Mar-10, May-15	B.3	6 taxa
UK1022	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-25, Apr-16	B.1.1	6 taxa
UK590	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-14, Apr-01	B.2.1	6 taxa
UK778	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-01, Jun-20	B.1.1	6 taxa
UK1596	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-16, Jun-16	B.1	6 taxa
UK1598	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Apr-05, Apr-21	B.1.1	6 taxa
UK236	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-12, Mar-27	B.2, B.2.1	6 taxa
UK951	5 (83.33%)	1 (16.67%)	0 (0%)	0 (0%)	Mar-22, Jun-08	B.1.1	6 taxa
UK1848	4 (66.67%)	0 (0%)	1 (16.67%)	1 (16.67%)	Mar-24, May-15	B.1.1	6 taxa
UK891	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Apr-07, May-05	B.1.1	6 taxa
UK1285	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	May-05, Jul-15	B.1, B.1.5	6 taxa
UK339	4 (66.67%)	2 (33.33%)	0 (0%)	0 (0%)	Mar-05, May-18	B.1, B.1.8	6 taxa
UK1412	6 (100.0%)	0 (0%)	0 (0%)	0 (0%)	Mar-25, Apr-29	B.1.1	6 taxa
UK1862	5 (83.33%)	0 (0%)	0 (0%)	1 (16.67%)	Mar-19, May-19	B.1.1	6 taxa
UK656	4 (66.67%)	1 (16.67%)	0 (0%)	1 (16.67%)	Mar-29, Aug-11	B.1	6 taxa
